name,industry,headquarters,fortune_500_rank,notes,traded_as,founded,key_people,revenue,employees,website,wikipedia_url,subsidiaries,founders,services,type
Jelly Belly,Confections,"Fairfield, California",,,,"1869; 155 years ago (1869) in Belleville, Illinois, U.S.","['Herman G Rowland Sr.', 'Chairman[1]']",$190 million[1],800[1],jellybelly.com,https://en.wikipedia.org/wiki/Jelly_Belly,,,,
Martinelli's,Food and drink,Watsonville,,,,,,,,,https://en.wikipedia.org/wiki/Martinelli%27s,,,,
Mountain Mike's Pizza,Fast food restaurants,"Newport Beach, California, United States",,,,"1978; 46 years ago (1978) in Palo Alto, California",['Jim Metevier (CEO)[1]'],$1.1M avg/location (2022)[2],,mountainmikespizza.com,https://en.wikipedia.org/wiki/Mountain_Mike%27s_Pizza,,,,
Odwalla,Consumer products,"Half Moon Bay, California, U.S.",,,,"1980; 44 years ago (1980), in Santa Cruz, California, U.S.","['Steven M. McCormick (COO and general manager)', 'James R. Steichen (SVP Finance and CFO)', 'Chris Brandt (director brand)']",US$187.9 million (2007),900[1],www.odwalla.com,https://en.wikipedia.org/wiki/Odwalla,,,,
Otis Spunkmeyer,Food processing,"San Leandro, California, United States",,,,1977,,336.3 million USD (2005),"1,183 (2005)",www.otisspunkmeyer.com,https://en.wikipedia.org/wiki/Otis_Spunkmeyer,,,,
Peet's Coffee & Tea,Coffee shop,"Emeryville, California, U.S.",,,,"1966 (58 years ago) (1966)Berkeley, California, U.S.","['Eric Lauterbach (president)', 'Joris Knauf (chief financial officer)', 'Doug Welsh (senior vice-president and roastmaster)']",$983 million (FY 2019)[1],"5,000",peets.com,https://en.wikipedia.org/wiki/Peet%27s_Coffee_%26_Tea,['Stumptown Coffee RoastersIntelligentsia Coffee & TeaMighty Leaf Tea'],,,
Point Reyes Farmstead Cheese Company,Food and drink,Point Reyes Station,,,,,,,,,https://en.wikipedia.org/wiki/Point_Reyes_Farmstead_Cheese_Company,,,,
PowerBar,Food processing,"Glendale, California, United States",,,,1986; 38 years ago (1986),,US$175 million (2013),,powerbar.com,https://en.wikipedia.org/wiki/PowerBar,,,,
"R. Torre & Company, Inc.","Flavorings, spices and other ingredients","South San Francisco, California, United States",,,,1925 (1925),['Melanie Dulbecco(CEO)'],US$ 85 million (2011)[1][2],100[3][unreliable source?],www.torani.com,"https://en.wikipedia.org/wiki/R._Torre_%26_Company,_Inc.",,,,
See's Candies,Retail and candy,"South San Francisco, California, United States",,,,November 1921; 103 years ago (November 1921),['Pat Egan (CEO)'],US$ $410 million (2016)[1][2],"1,500 year-round, 6,000+ seasonal",www.sees.com,https://en.wikipedia.org/wiki/See%27s_Candies,,,,
Shasta,Beverages,"Hayward, California, United States",,,,"December 6, 1889; 134 years ago (1889-12-06), Siskiyou County, California",,,,http://www.shastapop.com,https://en.wikipedia.org/wiki/Shasta_(soft_drink),"['Shasta Beverages', 'Intl.', 'Inc.Shasta Sales', 'Inc.Shasta Sweetener Corp.Shasta West', 'Inc.[1]']",,,
Takaki Bakery (Andersen Institute of Bread and Life),Food Industry,"Aki-ku, Hiroshima",,,,August 1948,,,702 (May 2006),www.takaki-bakery.co.jp,https://en.wikipedia.org/wiki/Takaki_Bakery,,,,
Togo's,Restaurants,"San Jose, California, United States",,,,"1964; 60 years ago (1964) Marquette, Michigan[1]",['Glenn Lunde (CEO)'],,,www.togos.com,https://en.wikipedia.org/wiki/Togo%27s,,,,
Verve Coffee Roasters,Food and drink,Santa Cruz,,,,,,,,vervecoffee.com,https://en.wikipedia.org/wiki/Verve_Coffee_Roasters,,,,
Castlight Health,Healthcare,United States,,,NYSE: CSLT (Class B)Russell 2000 Component,2008,"[""Maeve O'Meara"", 'CEO\nSiobhan Nolan Mangini', 'President & Chief Financial Officer\n\nGiovanni Colella', 'MD Former CEO and Founder. John Doyle', 'Former CEO']","US$143 million (2019)
 US$156 million (2018)[1]",,www.castlighthealth.com,https://en.wikipedia.org/wiki/Castlight_Health,,,,
Eargo,Healthcare,"San Jose, California, U.S.",,,Nasdaq: EAR (2020-24),2010; 14 years ago (2010),"['Christian Gormsen (president', 'CEO', 'and director)[1]']",$45 million (as of 2020)[2],184 (2020),www.eargo.com,https://en.wikipedia.org/wiki/Eargo,,['Florent Michel (inventor)Raphael MichelDaniel Shen'],,
Kaiser Permanente,Healthcare,"Ordway BuildingOakland, California, U.S.",,,,"July 21, 1945; 79 years ago (1945-07-21)",['Greg A. Adams (Chairman & CEO) see section below'],$100.8 billion USD (2023)[1],"235,785 employees (including 73,618 nurses and 24,605 physicians as of 2023)[1]",kaiserpermanente.org kp.org,https://en.wikipedia.org/wiki/Kaiser_Permanente,"['Geisinger Health System', 'The Permanente Federation, LLC', ""St Dominic's Hospital"", 'The Permanente Medical Group, Inc.', 'Avivia Health', 'Buenaventura Medical Group Inc', 'Southern California Permanente Medical Group', '1800 Harrison Foundation', 'Kaiser Foundation Hospitals', 'The Southeast Permanente Medical Group, Inc.', 'Kaiser Permanente of Georgia, Inc.', 'Kaiser Permanente Center for Gun Violence Research and Education']","['Henry J. Kaiser', 'Sidney R. Garfield']","['Insurance', 'Hospital', 'Healthcare']",
One Medical,Primary healthcare,One Embarcadero CenterSan Francisco,,,Nasdaq: ONEM,"2007; 17 years ago (2007), San Francisco, California, U.S.",['Trent Green (CEO)'],US$1.05 billion (2022),"3,698 (2022)",onemedical.com,https://en.wikipedia.org/wiki/One_Medical,,,,
Palo Alto Medical Foundation,Healthcare,Palo Alto,,,,,,,,https://www.sutterhealth.org/pamf,https://en.wikipedia.org/wiki/Palo_Alto_Medical_Foundation,,,['Healthcare'],Nonprofit
Airbnb,Lodging,"San Francisco, California, U.S.",,,Nasdaq: ABNB (Class A)Nasdaq-100 componentS&P 500 component,"August 2008; 16 years ago (2008-08) in San Francisco, California, U.S.","['Brian Chesky (CEO)', 'Nathan Blecharczyk (CSO)']",US$5.99 billion (2023),"6,907 (2023)",airbnb.com,https://en.wikipedia.org/wiki/Airbnb,"['Luxury Retreats International Inc.', 'Tilt.com', 'Accomable', 'Aibiying', 'Trooly, Inc.', 'Deco Software Inc.', 'Trip4real Experiences, S.L.', 'Larson8, Inc.', 'MarketLog, Randorphire Inc.', 'HotelTonight']","['Brian Chesky', 'Joe Gebbia', 'Nathan Blecharczyk']","['Lodging', 'Hospitality', 'Homestay']",
Alphabet Inc.,Conglomerate,"Googleplex, Mountain View, California, United States",11.0,,"Nasdaq: GOOGL (Class A)
Nasdaq: GOOG (Class C)
Nasdaq-100 components (A & C)
S&P 100 components (A & C)
S&P 500 components (A & C)","September 4, 1998; 26 years ago (1998-09-04) or
October 2, 2015; 9 years ago (2015-10-02)","['John L. Hennessy (Chairman)', 'Sundar Pichai (CEO)', 'Ruth Porat (President and CIO)', 'Anat Ashkenazi (CFO)']",US$307.4 billion (2023),"181,269 (Sept. 2024)",abc.xyz,https://en.wikipedia.org/wiki/Alphabet_Inc.,"['Calico', 'CapitalG', 'Google', 'Google Fiber', 'GV', 'Intrinsic', 'Isomorphic Labs', 'Verily', 'Waymo', 'Wing']","['Larry Page', 'Sergey Brin']",,
Ask.com,Internet,"555 City CenterOakland, California, U.S.[1]",,,,"June 3, 1996; 28 years ago (1996-06-03) (as Ask Jeeves)
February 2006; 18 years ago (2006-02) (as Ask.com)",,,,,https://en.wikipedia.org/wiki/Ask.com,,,,
Box,Internet,"Redwood City, California, U.S.",,,,,,US$1.04 billion (2024),,,https://en.wikipedia.org/wiki/Box_(company),,,,
Cisco,Networking hardwareNetworking software,"San Jose, California, U.S.[2]",64.0,,"Nasdaq: CSCO
Nasdaq-100 component
DJIA component
S&P 100 component
S&P 500 component","December 10, 1984; 39 years ago (1984-12-10) in San Francisco, California, U.S.",['Chuck Robbins(CEO & chairman)'],US$53.80 billion (2024),"90,400 (2024)",cisco.com,https://en.wikipedia.org/wiki/Cisco,,"['Leonard Bosack', 'Sandy Lerner']",,
Craigslist,Internet,"San Francisco, California, U.S.[1]",,,,1995; 29 years ago (1995) (incorporated 1999),,US$660M [2],,,https://en.wikipedia.org/wiki/Craigslist,,,['Web communications'],
DoorDash,Online food ordering,"San Francisco, California, United States37°47′08″N 122°23′45″W﻿ / ﻿37.7856°N 122.3958°W﻿ / 37.7856; -122.3958",,,Nasdaq: DASH (Class A)Nasdaq-100 component,"October 2012; 12 years ago (2012-10) in Palo Alto, California[1]","['Tony Xu (chairman & CEO)', 'Prabir Adarkar (president & COO)', 'Ravi Inukonda (CFO)']",US$8.64 billion (2023),"c. 19,300 (2023)",doordash.com,https://en.wikipedia.org/wiki/DoorDash,,"['Tony Xu', 'Andy Fang', 'Stanley Tang', 'Evan Moore']",['Food delivery'],
Dropbox,Cloud storageFile hosting,"San Francisco, California, U.S.",,,Nasdaq: DBX (Class A)S&P 400 component,May 2007; 17 years ago (2007-05),"['Drew Houston (CEO)', 'Timothy Young (president)', 'Tim Regan (CFO)']",US$2.50 billion (2023),"2,693 (2023)",,https://en.wikipedia.org/wiki/Dropbox_(service),,"['Drew Houston', 'Arash Ferdowsi']",,
Ebates,Cashback website,"San Mateo, California",,,,"3 May 1998 (1998-05-03) in Menlo Park, California, United States",['Amit Patel (CEO)'],,"760 (worldwide, 2019)",www.rakuten.com,https://en.wikipedia.org/wiki/Ebates,,['Alessandro Isolani and Paul Wasserman'],,
eBay,E-commerce,"San Jose, California, U.S.",295.0,,Nasdaq: EBAYS&P 500 component,"September 3, 1995; 29 years ago (1995-09-03)","['Paul Pressler (chairman)', 'Jamie Iannone (president\xa0and CEO)']",US$10.11 billion (2023),"c. 12,300 (2023)",www.ebay.com,https://en.wikipedia.org/wiki/EBay,['Qoo10'],,['Online shopping'],
Evernote,Internet,Redwood City,,,,,,,,evernote.com,https://en.wikipedia.org/wiki/Evernote,,,,"Note-taking software, integrated software"
Fandom,Internet,"San Francisco, California, U.S.",,,,"October 18, 2004; 20 years ago (2004-10-18)",,,,,https://en.wikipedia.org/wiki/Fandom_(website),"['Comic Vine', 'Focus Multimedia', 'GameFAQs', 'GameSpot', 'Giant Bomb', 'Metacritic', 'Screen Junkies', 'TV Guide']",,,
Glassdoor,Internet,"50 Beale Street, San Francisco, California, U.S.",,,,June 2007; 17 years ago (2007-06),,,,,https://en.wikipedia.org/wiki/Glassdoor,,,['Online employment'],
Google,InternetCloud computingComputer softwareComputer hardwareArtificial intelligenceAdvertising,"Googleplex, Mountain View, California, U.S.",,,"NASDAQ: GOOGL, GOOG","September 4, 1998; 26 years ago (1998-09-04)[a] in Menlo Park, California, United States","['Sundar Pichai (CEO)', 'Ruth Porat (President and CIO)', 'Anat Ashkenazi (CFO)', 'Thomas Kurian (CEO of Google Cloud)']",,"182,502 (2023)",about.google,https://en.wikipedia.org/wiki/Google,"['Adscape', 'Android', 'Cameyo', 'Charleston Road Registry', 'DeepMind', 'Endoxon', 'FeedBurner', 'ImageAmerica', 'Kaltix', 'Nest Labs', 'reCAPTCHA', 'YouTube', 'ZipDash']","['Larry Page', 'Sergey Brin']",,
Instacart,Retail,"50 Beale StreetSan Francisco, California, U.S.",,,Nasdaq: CARTRussell 1000 component,June 2012; 12 years ago (2012-06),['Fidji Simo (CEO)[1]'],US$3.04 billion (2023),"3,380 (2023)",instacart.cominstacart.ca,https://en.wikipedia.org/wiki/Instacart,['Caper AI'],"['Apoorva Mehta', 'Max Mullen', 'Brandon Leonardo']",['Grocery delivery'],
LinkedIn,Internet,"Sunnyvale, California, U.S.",,,,"May 5, 2003; 21 years ago (2003-05-05)Mountain View, California, U.S.",,US$15.15 billion (2023)[4],,,https://en.wikipedia.org/wiki/LinkedIn,['LinkedIn LearningConnectifierDrawbridgeGlint'],,,
Lyft,Vehicle for hire,"185 Berry Street, Suite 5000 San Francisco, California, U.S. 94107",,,Nasdaq: LYFT (Class A)Russell 1000 component,"June 9, 2012; 12 years ago (2012-06-09) (as Zimride)","['Logan Green (chairman)', 'John Zimmer (president)', 'David Risher (CEO)']",US$4.40 billion (2023),"2,945 (2023)",lyft.com,https://en.wikipedia.org/wiki/Lyft,['Motivate'],"['Logan Green', 'Travis Hansen', 'John Zimmer']",,
Meta,Social mediaSocial network advertisingConsumer electronicsVirtual reality,"Menlo Park, California, U.S.",46.0,,Nasdaq: META (Class A)Nasdaq-100 componentS&P 100 componentS&P 500 component,"January 4, 2004; 20 years ago (2004-01-04) in Cambridge, Massachusetts, U.S.","['Mark Zuckerberg (Chairman and CEO)', 'Javier Olivan (COO)', 'Andrew Bosworth (CTO)', 'Chris Cox (CPO)']",US$134.9 billion (2023),"70,799 (June 2024)",meta.com,https://en.wikipedia.org/wiki/Meta_Platforms,['Novi Financial'],"['Mark Zuckerberg', 'Eduardo Saverin', 'Andrew McCollum', 'Dustin Moskovitz', 'Chris Hughes']",,
Pinterest,Internet,"San Francisco, California, U.S.",,,,December 2009; 15 years ago (2009-12),,US$3.06 billion (2023),,,https://en.wikipedia.org/wiki/Pinterest,,,,
Poll Everywhere,Audience response systems,"San Francisco, USA",,,,2007; 17 years ago (2007),,,,,https://en.wikipedia.org/wiki/Poll_Everywhere,,,,
Poshmark,E-commerce,"Redwood City, California, US",,,,"May 10, 2011; 13 years ago (2011-05-10)",,US$262 million (2020)[1],c. 800 (2022)[2],poshmark.com,https://en.wikipedia.org/wiki/Poshmark,,"['Manish Chandra', 'Tracy Sun', 'Chetan Pungaliya', 'Gautam Golwala']",,
Postmates,Logistics,"San Francisco, California, United States",,,,"May 1, 2011; 13 years ago (2011-05-01)","['Bastian Lehman (CEO) Sean Plaice', 'Kristin Schaefer (Management Team) Nabeel Hyatt', 'Brian Singerman', 'Khai Ha (Board Members)']",US$1 billion (2018),"5,341 (2019)[1]",postmates.com,https://en.wikipedia.org/wiki/Postmates,,,['Delivery (commerce)'],
Quora,Internet,"Mountain View, California, U.S.",,,,"June 25, 2009; 15 years ago (2009-06-25)",,US$20 million (2018)[3],,,https://en.wikipedia.org/wiki/Quora,,,,
Rubrik,Cyber Security and Data Security,"Palo Alto, California, United States",,,NYSE: RBRK,January 2014; 10 years ago (January 2014),['Bipul Sinha (CEO)[1]'],US$628 million (2023)[1],"3,100[1] (2024)",rubrik.com,https://en.wikipedia.org/wiki/Rubrik,,"['Bipul Sinha', 'Arvind Jain', 'Soham Mazumdar', 'Arvind Nithrakashyap']",,
Salesforce.com,Cloud computingEnterprise softwareConsulting,"Salesforce TowerSan Francisco, California, U.S.",190.0,,NYSE: CRMDJIA componentS&P 100 componentS&P 500 component,"February 3, 1999; 25 years ago (1999-02-03)",['Marc Benioff(Chairman & CEO)'],US$34.86 billion (2024),"72,682 (2024)",salesforce.com,https://en.wikipedia.org/wiki/Salesforce.com,"['Quip', 'Heroku', 'MuleSoft', 'Tableau Software', 'Acumen Solutions', 'Slack Technologies']","['Marc Benioff', 'Parker Harris', 'Dave Moellenhoff', 'Frank Dominguez']",['Cloud computing'],
Slack Technologies,Internet (formerly video games)[1],"Salesforce TowerSan Francisco, California, U.S.",,,,"2009; 15 years ago (2009) in Vancouver, British Columbia, Canada[2]",['Denise Dresser (CEO)[4]'],US$903 million (2020)[5],"2,545 (January 2021)[5]",slack.com,https://en.wikipedia.org/wiki/Slack_Technologies,,"['Stewart Butterfield', 'Eric Costello', 'Cal Henderson', 'Serguei Mourachov[3]']",,
SurveyMonkey,Software as a serviceOnline survey services,"San Mateo, California, U.S.",,,Nasdaq: MNTV (2021–23)Nasdaq: SVMK (2018–21),1999; 25 years ago (1999)[1],['Eric Johnson (CEO)[3]'],US$481 million (2022),"1,300 (November 2023)",surveymonkey.com,https://en.wikipedia.org/wiki/SurveyMonkey,,"['Ryan Finley', 'Chris Finley']",,
Tripping.com,Internet,San Francisco,,,,"San Francisco, California",,,,,https://en.wikipedia.org/wiki/Tripping.com,,,['LodgingHospitalityHomestay'],
Twitch,Internet,San Francisco,,,,,,,,,https://en.wikipedia.org/wiki/Twitch_(service),,,,
Uber,TransportationMobility as a service,"San Francisco, California, U.S.",228.0,,NYSE: UBERDJTA componentS&P 500 component,March 2009; 15 years ago (2009-03),"['Ronald Sugar (chairman)', 'Dara Khosrowshahi (CEO)']",US$37.281 billion (2023),"30,400 (2023)",uber.com,https://en.wikipedia.org/wiki/Uber,"['Careem (2020–2023)', 'Cornershop', 'Drizly (2021–2024)', 'Postmates', 'Uber Carshare (2022-2024)', 'Uber Eats']","['Garrett Camp', 'Travis Kalanick']","['Taxi', 'Food delivery', 'Package delivery', 'Freight transport']",
Wikimedia Foundation,Internet,San Francisco,,,,"June 20, 2003; 21 years ago (2003-06-20), St. Petersburg, Florida, U.S.",,$180.2 million (2023)$154.7 million (2022),,wikimediafoundation.org foundation.wikimedia.org (Governance),https://en.wikipedia.org/wiki/Wikimedia_Foundation,,,,"501(c)(3), charitable organization"
Workday,Cloud computingEnterprise software,"Pleasanton, California, U.S.",,,Nasdaq: WDAY (Class A)Nasdaq-100 component,March 2005; 19 years ago (2005-03),"['Aneel Bhusri (executive chairman)', 'Carl Eschenbach (CEO)']",US$7.26 billion (2024),"18,800 (2024)",workday.com,"https://en.wikipedia.org/wiki/Workday,_Inc.",,"['Dave Duffield', 'Aneel Bhusri']","['Software', 'Cloud']",
Yelp,"Local search, business ratings and reviews, online food delivery, local homeowner services","350 Mission Street, San Francisco, California, U.S.",,,,October 2004; 20 years ago (2004-10),,US$1.34 billion (2023),,,"https://en.wikipedia.org/wiki/Yelp,_Inc.",,,,
YouTube,InternetVideo hosting service,"901 Cherry AvenueSan Bruno, California, United States",,,,"February 14, 2005; 19 years ago (2005-02-14)",,US$31.5 billion (2023)[1],,,https://en.wikipedia.org/wiki/YouTube,,,,
Yummly,SoftwareInternetKitchen Appliances,"San Carlos, California",,,,October 2008,"['Andrew Grose (Chief Operating Officer 2019-present)', 'David Feller (Chief Executive Officer 2008-2017)', 'Vadim Geshel (CTO 2008-2021)', 'Brian Witlin (Chief Executive Officer 2017-2021)']",,,yummly.com,https://en.wikipedia.org/wiki/Yummly,,,,
Zendesk,Software as a service,"San Francisco, California, U.S.",,,,"2007; 17 years ago (2007) in Copenhagen, Denmark",['Tom Eggemeier (CEO)'],US$1.34 billion (2021),"5,860 (December 31, 2021)",zendesk.com,https://en.wikipedia.org/wiki/Zendesk,,"['Mikkel Svane', 'Alexander Aghassipour', 'Morten Primdahl']",,
Zoom Video Communications,Internet,"San Jose, California, U.S.",,,Nasdaq: ZM (Class A)Russell 1000 component,"April 21, 2011; 13 years ago (2011-04-21)","['Eric Yuan (chairman and CEO)', 'Xuedong Huang (CTO)']",US$4.53 billion (2024),"7,420 (January 2024)",zoom.us,https://en.wikipedia.org/wiki/Zoom_Video_Communications,,,"['Videotelephony', 'Online chat', 'Business telephone systems']",
Zoosk,Consumer services,"Berlin, Germany",,,,"Fremont, California, U.S. (2007 (2007))",,US$178.23 million (2013),174 (April 2014)[1],zoosk.com,https://en.wikipedia.org/wiki/Zoosk,,,['Online dating service'],
Communication Arts,Media,Menlo Park,,,,1959,,,,commarts.com,https://en.wikipedia.org/wiki/Communication_Arts,,,,
Complex,MediaEntertainment,"New York City, U.S.",,,,2002; 22 years ago (2002),"['Aaron Levant (CEO)[1]', 'Noah Callahan-Bever (Chief Content Officer) [2]', 'Aria Hughes (Editor-in-Chief) [3]', 'Donnie Kwak (GM)[4]', 'Joe LaPuma (SVP content strategy) \nAleksey Baksheyev (CTO, Head of Product)[5]']",,,complexnetworks.com,https://en.wikipedia.org/wiki/Complex_(magazine),,['Marc Ecko'],,
Daily Review,Media,Hayward,,,,,,,,www.eastbaytimes.com/location/hayward,https://en.wikipedia.org/wiki/Daily_Review,,,,Daily newspaper
Dwell,Media,San Francisco,,,,,,,,www.dwell.com,https://en.wikipedia.org/wiki/Dwell_(magazine),,,,
Future US,Publishing,"New York City, US",,,,1994; 30 years ago (1994),['Rachelle Considine (CEO)'],,,,https://en.wikipedia.org/wiki/Future_US,,,,
POPSUGAR Inc.,Media,"San Francisco, California,[1]U.S.",,,,2006; 18 years ago (2006),,,,,https://en.wikipedia.org/wiki/PopSugar,,,,
San Francisco Chronicle,Media,"901 Mission StreetSan Francisco, California94103",,,,"January 16, 1865; 159 years ago (1865-01-16)",,,,sfchronicle.comsfgate.com (until 2017),https://en.wikipedia.org/wiki/San_Francisco_Chronicle,,,,Daily newspaper
San Jose Mercury News,Media,"75 E. Santa Clara Street, Suite 1100San Jose, California 95113U.S.[4]",,,,"June 20, 1851; 173 years ago (1851-06-20) (as San Jose Weekly Visitor)",,,,mercurynews.com,https://en.wikipedia.org/wiki/San_Jose_Mercury_News,,,,Daily newspaper
University of California Press,Media,Berkeley,,,,1893,,,,,https://en.wikipedia.org/wiki/University_of_California_Press,,,,
Bleacher Report,Mobile media,San Francisco,,,,,,,,,https://en.wikipedia.org/wiki/Bleacher_Report,['House of Highlights'],,,
MobiTV,Mobile media,Emeryville,,,,,,,,,https://en.wikipedia.org/wiki/MobiTV,,,,
TubeMogul,Marketing and AdvertisingAdvertising Software,"Emeryville, CA, US[1]",,,Nasdaq: TUBE,March 2007 (March 2007),,$180.7 million (2015),577 (2015)[3],www.tubemogul.com,https://en.wikipedia.org/wiki/TubeMogul,,['John Hughes and Brett Wilson'],,
Dunlop Manufacturing,Consumer electronics,"Benicia, California",,,,1965,,,,http://www.jimdunlop.com,https://en.wikipedia.org/wiki/Dunlop_Manufacturing,['MXR'],,,
E-mu Systems,Computer softwareComputer hardware,"Scotts Valley, California, U.S.",,,,1971; 53 years ago (1971),,,,www.emu.com,https://en.wikipedia.org/wiki/E-mu_Systems,,,,
Saga Musical Instruments,Musical instruments,United States,,,,,,,,Official website,https://en.wikipedia.org/wiki/Saga_Musical_Instruments,,,,
Santa Cruz Guitar Company,Musical instrument,"Santa Cruz, California, U.S.",,,,1976; 48 years ago (1976),,,22,santacruzguitar.com,https://en.wikipedia.org/wiki/Santa_Cruz_Guitar_Company,,,,
Universal Audio,Pro Audio,"Scotts Valley, California, United States",,,,1999; 25 years ago (1999),,,,http://www.uaudio.com/,https://en.wikipedia.org/wiki/Universal_Audio_(company),,,,
A10 Networks,Computer networking,"San Jose, California, U.S.",,,NYSE: ATENRussell 2000 componentS&P 600 component,2004; 20 years ago (2004),['Dhrupad Trivedi (CEO)'],US$250 million (2021),590 (2021),a10networks.com,https://en.wikipedia.org/wiki/A10_Networks,,,,
Arista Networks,Networking hardware,"Santa Clara, California, U.S.",,,NYSE: ANETS&P 500 component,October 2004; 20 years ago (2004-10),"['Jayshree Ullal (CEO and Chairperson)', 'Andy Bechtolsheim (Chief Architect)', 'Kenneth Duda (CTO)']",US$5.86 billion (2023),"4,023 (December 2023)",arista.com,https://en.wikipedia.org/wiki/Arista_Networks,,"['Andy Bechtolsheim', 'Kenneth Duda', 'David Cheriton']",,
Aryaka Networks,Cloud computing,"Santa Clara, California",,,,2009; 15 years ago (2009),,,,www.aryaka.com,https://en.wikipedia.org/wiki/Aryaka,,,,
Barefoot Networks (Intel),"Networking software, cloud networking","Santa Clara, California, USA",,,,May 2013,,,,barefootnetworks.com,https://en.wikipedia.org/wiki/Barefoot_Networks,,"['Nick McKeown', 'Pat Bosshart']",,
Brocade Communications (Broadcom),Networking Hardware and Software,"San Jose, California, United States",,,Nasdaq: BRCD,1995; 29 years ago (1995),['Hock Tan (Broadcom CEO)'],,,Brocade Products,https://en.wikipedia.org/wiki/Brocade_Communications,,,,
Cisco,Networking hardwareNetworking software,"San Jose, California, U.S.[2]",64.0,,"Nasdaq: CSCO
Nasdaq-100 component
DJIA component
S&P 100 component
S&P 500 component","December 10, 1984; 39 years ago (1984-12-10) in San Francisco, California, U.S.",['Chuck Robbins(CEO & chairman)'],US$53.80 billion (2024),"90,400 (2024)",cisco.com,https://en.wikipedia.org/wiki/Cisco,,"['Leonard Bosack', 'Sandy Lerner']",,
Ericsson,Telecommunications,"Kista, Stockholm, Sweden",,,"Nasdaq Stockholm: ERIC A, ERIC B
Nasdaq: ERIC","Stockholm, Sweden (1876; 148 years ago (1876))","['Ronnie Leten (chairman)', 'Börje Ekholm (president & CEO)']",263.351 billion kr (2023),"100,000 (2023)",ericsson.com/en,https://en.wikipedia.org/wiki/Ericsson,"['Cradlepoint', 'Emodo', 'iconectiv', 'inCode Consulting', 'Red Bee Media', 'Vonage']",,,
Extreme Networks,Networking hardware,"Morrisville, North Carolina, United States",,,Nasdaq: EXTRS&P 600 component,1996; 28 years ago (1996),"['Ed Meyercord (president & CEO)', 'Nabil Bukhari (CTO and CPO)  Norman Rice (COO)']",US$1.31 billion (2023),"2,849 (2023)",extremenetworks.com,https://en.wikipedia.org/wiki/Extreme_Networks,,"['Stephen Haddock', 'Herb Schneider', 'Gordon Stitt[1]']",,
F5 Networks,Technology,"Seattle, Washington, U.S.",,,Nasdaq: FFIVS&P 500 component,"February 26, 1996; 28 years ago (1996-02-26)",['François Locoh-Donou (president and CEO)'],US$2.81 billion (2023),"6,524 (2023)",f5.com,https://en.wikipedia.org/wiki/F5_Networks,,,,
Fortinet,Cloud SecurityCybersecurityNetwork Security,"Sunnyvale, California, U.S.",,,Nasdaq: FTNTNasdaq-100 componentS&P 500 component,2000; 24 years ago (2000),"['Ken Xie (CEO)', 'Michael Xie (CTO)', 'Keith Jensen (CFO)']",US$5.30 billion (2023),"13,568 (2023)",fortinet.com,https://en.wikipedia.org/wiki/Fortinet,,"['Ken Xie', 'Michael Xie']","['Next generation firewalls', 'Antivirus programs', 'Intrusion-prevention system', 'Antispyware', 'Antispam', 'VPN', 'Wireless security', 'Application control', 'Web filtering', 'Security information and event management']",
Juniper Networks,Networking hardware,"Sunnyvale, California, United States",,,NYSE: JNPRS&P 500 component,"February 6, 1996; 28 years ago (1996-02-06)","['Scott Kriens (chairman)', 'Pradeep Sindhu (vice chairman)', 'Rami Rahim (CEO)']",US$5.56 billion (2023),"11,144 (2023)",juniper.net,https://en.wikipedia.org/wiki/Juniper_Networks,,,,
Minerva Networks,Networking,San Jose,,,,,,,,,https://en.wikipedia.org/wiki/Minerva_Networks,,,,
NETGEAR,Networking equipment,"San Jose, California, U.S.",,,Nasdaq: NTGR,"January 8, 1996; 28 years ago (1996-01-08)","['Charles Prober (CEO)', 'Bryan Murray (CFO)']",US$741 million (2023),635 (2023),netgear.com,https://en.wikipedia.org/wiki/Netgear,,"['Patrick Lo', 'Mark G. Merrill[1]']",,
Palo Alto Networks,Network securityCybersecurity[1]Cloud computing[2],"Santa Clara, California, U.S.",,,Nasdaq: PANWNasdaq-100 componentS&P 500 component,2005; 19 years ago (2005),['Nikesh Arora (CEO)'],US$8.03 billion (2024),"15,289 (2024)",paloaltonetworks.com,https://en.wikipedia.org/wiki/Palo_Alto_Networks,,,,
Digital Realty,Real estate investment trust,"Austin, Texas, U.S.",,,NYSE: DLRS&P 500 component,2004; 20 years ago (2004),['Mary Hogan Preusse (Chairman)Andrew P. Power (CEO & President)'],US$4.69 billion (2022),"3,450 (2023)",digitalrealty.com,https://en.wikipedia.org/wiki/Digital_Realty,,,,
Jay Paul Company,real estate,Silicon Valley,,,,1975; 49 years ago (1975),,,,,https://en.wikipedia.org/wiki/Jay_Paul_Company,,,,
LiquidSpace,Real estate,San Francisco,,,,November 2010 (2010-11),,,,www.liquidspace.com,https://en.wikipedia.org/wiki/LiquidSpace,,['Mark Gilbreath'],['Commercial real estate technology'],
Prologis,Real estate,"Pier 1, San Francisco, California, United States",,,NYSE: PLDS&P 500 component,1983; 41 years ago (1983),"['Hamid Moghadam (Chairman and CEO)[1]', 'Dan Letter (President)[1]', 'Gary Anderson (COO)[1]', 'Tim Arndt (CFO)[1]']",US$8.02 billion (2023)[2],"2,574 (2023)[2]",prologis.com,https://en.wikipedia.org/wiki/Prologis,,"['Hamid Moghadam', 'Doug Abbey', 'T. Robert Burke']",,
